company_name,total_promoter_holding_pct,promoter_shares_encumbered,promoter_shares_encumbered_pct
Balmer Lawrie & Company Limited,0.0,0.0,
Balrampur Chini Mills Limited,42.9,0.0,0.0
Banaras Beads Limited,58.14,0.0,0.0
Banco Products (I) Limited,67.88,0.0,0.0
Bang Overseas Limited,72.98,0.0,0.0
Bank Of Baroda,63.97,0.0,0.0
Bank Of India,73.38,0.0,0.0
Bank of Maharashtra,86.46,0.0,0.0
Bannari Amman Spinning Mills Limited,55.33,0.0,0.0
Bannari Amman Sugars Limited,58.7,0.0,0.0
Banswara Syntex Limited,54.22,0.0,0.0
Barak Valley Cements Limited,55.15,0.0,0.0
Barbeque Nation Hospitality Limited,33.71,86113.0,0.65
Bata India Limited,50.16,0.0,0.0
Bcl Industries Limited,59.47,7536340.0,4.29
Beardsell Limited,56.1,0.0,0.0
Bedmutha Industries Limited,57.05,17496105.0,95.06
Berger Paints (I) Limited,74.99,0.0,0.0
Bhagyanagar India Limited,71.65,0.0,0.0
Bhansali Engineering Polymers Limited,57.47,0.0,0.0
Bharat Bijlee Limited,33.69,0.0,0.0
Bharat Electronics Limited,51.14,0.0,0.0
Bharat Forge Limited,45.25,0.0,0.0
Bharat Gears Limited,55.32,0.0,0.0
Bharat Heavy Electricals Limited,63.17,0.0,0.0
Bharat Petroleum Corporation Limited,52.98,0.0,0.0
Bharat Rasayan Limited,74.99,0.0,0.0
Bharat Road Network Limited,51.97,9999400.0,22.92
Bharat Wire Ropes Limited,40.98,13814250.0,49.31
Bharati Defence and Infrastructure Limited,40.58,20412281.0,100.0
Bharatiya Global Infomedia Limited,48.46,5059335.0,65.9
Bharti Airtel Limited,53.23,0.0,0.0
Bhartiya International Limited,57.35,0.0,0.0
Bigbloc Construction Limited,72.48,0.0,0.0
Bil Energy Systems Limited,46.79,64299720.0,64.99
Binani Industries Limited,52.62,0.0,0.0
Biocon Limited,60.92,0.0,0.0
Biofil Chemicals & Pharmaceuticals Limited,46.82,0.0,0.0
Birla Cable Limited,66.35,1250000.0,6.28
Birla Corporation Limited,62.9,0.0,0.0
Bkm Industries Limited,37.54,2300000.0,9.35
Black Box Limited,71.06,10660175.0,8.93
Bliss GVS Pharma Limited,34.9,0.0,0.0
Blue Blends (I) Limited,53.16,11480000.0,99.74
Blue Chip India Limited,11.25,0.0,0.0
Blue Coast Hotels Limited,61.39,55442.0,0.71
Blue Dart Express Limited,75.0,0.0,0.0
Blue Star Limited,36.52,0.0,0.0
Bodal Chemicals Limited,57.32,0.0,0.0
Bohra Industries Limited,27.13,370000.0,9.54
Bombay Burmah Trading Corporation Limited,74.05,0.0,0.0
Bombay Dyeing & Mfg Company Limited,53.58,0.0,0.0
Bombay Rayon Fashions Limited,25.54,30868329.0,38.07
Bosch Limited,70.54,0.0,0.0
Bpl Limited,63.13,0.0,0.0
Brand Concepts Limited,48.34,0.0,0.0
Brigade Enterprises Limited,41.37,0.0,0.0
Brightcom Group Limited,18.38,9262114.0,2.5
Britannia Industries Limited,50.55,0.0,0.0
Brooks Laboratories Limited,63.59,0.0,0.0
Burnpur Cement Limited,1.98,0.0,0.0
Butterfly Gandhimathi Appliances Limited,75.0,0.0,0.0
C & C Constructions Limited,32.36,6460858.0,78.47
CARE Ratings Limited,0.0,0.0,
CCL Products (India) Limited,46.09,0.0,0.0
CEAT Limited,47.21,0.0,0.0
CESC Limited,52.11,0.0,0.0
CG Power and Industrial Solutions Limited,58.09,0.0,0.0
CIE Automotive India Limited,65.7,0.0,0.0
CMI Limited,0.5,0.0,0.0
COSMO FIRST LIMITED,46.36,0.0,0.0
CRISIL Limited,66.64,0.0,0.0
California Software Company Limited,35.73,0.0,0.0
Cambridge Technology Enterprises Limited,48.85,0.0,0.0
Camlin Fine Sciences Limited,48.02,10000000.0,12.43
Can Fin Homes Limited,29.99,0.0,0.0
Canara Bank,62.93,0.0,0.0
Cantabil Retail India Limited,74.09,0.0,0.0
Capacite Infraprojects Limited,31.69,12430000.0,46.36
Caplin Point Laboratories Limited,70.56,0.0,0.0
Capri Global Capital Limited,69.89,0.0,0.0
Carborundum Universal Limited,41.16,0.0,0.0
Career Point Limited,63.68,0.0,0.0
Castrol India Limited,51.0,0.0,0.0
Celebrity Fashions Limited,35.32,14168540.0,70.93
Central Bank of India,93.08,0.0,0.0
Centrum Capital Limited,42.09,43874250.0,25.06
Centum Electronics Limited,58.75,0.0,0.0
Century Enka Limited,24.86,0.0,0.0
Century Extrusions Limited,52.04,5636533.0,13.54
Century Plyboards (India) Limited,72.59,0.0,0.0
Cera Sanitaryware Limited,54.48,0.0,0.0
Cerebra Integrated Technologies Limited,0.84,0.0,0.0
Chalet Hotels Limited,67.52,47023720.0,31.93
Chambal Fertilizers & Chemicals Limited,60.7,58865864.0,24.2
Chemcon Speciality Chemicals Limited,74.47,4730000.0,17.34
Chennai Petroleum Corporation Limited,67.29,0.0,0.0
Choice International Limited,58.21,13288000.0,11.45
Cholamandalam Financial Holdings Limited,47.32,13200.0,0.01
Cholamandalam Investment and Finance Company Limited,50.33,0.0,0.0
Cigniti Technologies Limited,32.77,0.0,0.0
Cineline India Limited,69.6,4300000.0,18.03
Cinevista Limited,67.43,0.0,0.0
Cipla Limited,31.02,0.0,0.0
City Union Bank Limited,0.0,0.0,
Coal India Limited,63.13,0.0,0.0
Coffee Day Enterprises Limited,8.21,4994780.0,28.8
Coforge Limited,0.0,0.0,
Colgate Palmolive (India) Limited,51.0,0.0,0.0
Compucom Software Limited,70.84,0.0,0.0
Confidence Petroleum India Limited,55.89,9175000.0,4.94
Consolidated Construction Consortium Limited,62.39,0.0,0.0
Consolidated Finvest & Holdings Limited,74.89,0.0,0.0
Container Corporation Of India Limited,54.8,0.0,0.0
Coral India Finance & Housing Limited,75.0,0.0,0.0
Cords Cable Industries Limited,51.92,0.0,0.0
Coromandel International Limited,57.31,12000.0,0.01
Country Condo's Limited,53.86,0.0,0.0
Cox & Kings Financial Service Limited,51.72,12615400.0,33.48
Creative Eye Limited,56.26,0.0,0.0
Crest Ventures Limited,70.0,0.0,0.0
Crompton Greaves Consumer Electricals Limited,0.0,0.0,
Cubex Tubings Limited,44.42,0.0,0.0
Cummins India Limited,51.0,0.0,0.0
Cupid Limited,44.8,55669460.0,46.31
Cura Technologies Limited,31.05,2086364.0,70.32
Cyber Media (India) Limited,61.79,0.0,0.0
Cybertech Systems And Software Limited,36.43,0.0,0.0
Cyient Limited,23.99,0.0,0.0
D-Link (India) Limited,51.02,0.0,0.0
D.B.Corp Limited,72.36,0.0,0.0
DB (International) Stock Brokers Limited,36.18,6596867.0,52.1
DCB Bank Limited,14.73,0.0,0.0
