symbol,market_cap
DCCL,52.82
DCG,124.87
DCI,470.52
DCM,154.28
DCMFINSERV,8.87
DCMNVL,266.16
DCMSHRIRAM,18837.83
DCMSIL,570.23
DCMSRIND,374.07
DCW,1396.08
DCXINDIA,2247.22
DDEVPLSTIK,2602.44
DECCANCE,913.29
DECCANTRAN,47.15
DECNGOLD,2463.88
DEEDEV,2892.44
DEEPAKFERT,15688.21
DEEPAKNTR,23699.65
DEEPINDS,3122.24
DEFENCE,74.8
DELAPLEX,105.13
DELHIVERY,34964.03
DELPHIFX,289.42
DELTACORP,1901.17
DELTAMAGNT,66.73
DELTIC,65.29
DEN,1322.86
DENEERS,147.26
DENORA,456.52
DENTA,742.29
DENTALKART,792.6
DEVIT,177.88
DEVX,384.83
DEVYANI,15430.24
DGCONTENT,181.83
DHAMPURSUG,1012.83
DHANBANK,1206.99
DHANLAXMI,52.17
DHANUKA,4877.47
DHARARAIL,166.6
DHARIWAL,361.95
DHARMAJ,878.9
DHRUV,66.93
DHUNINV,556.34
DIACABS,8273.97
DIAMINESQ,256.34
DIAMONDYD,2387.96
DICIND,480.61
DIFFNKG,1141.5
DIGIDRIVE,92.55
DIGIKORE,90.43
DIGISPICE,490.04
DIGITIDE,1440.05
DIGJAMLMTD,91.5
DISAQ,1783.58
DISHTV,699.68
DIVGIITTS,2208.09
DIVIDEND,9.87
DIVINEHIRA,404.59
DIVISLAB,172766.95
DIVOPPBEES,70.8
DIVYADHAN,50.93
DIXON,68219.72
DJML,319.34
DLF,145338.12
DLINKINDIA,1601.27
DMART,300889.86
DMCC,688.37
DNAMEDIA,35.67
DODLA,6569.7
DOLATALGO,1364.0
DOLLAR,1736.19
DOLPHIN,1679.19
DOMS,13901.27
DONEAR,473.2
DPABHUSHAN,2362.8
DPEL,1240.89
DPSCLTD,981.58
DPWIRES,276.0
DRAGARWQ,2414.0
DRCSYSTEMS,218.28
DREAMFOLKS,436.71
DREDGECORP,2632.0
DRONE,127.0
DRREDDY,110592.05
DSFCL,227.14
