[2024-11-06 20:22:25] Starting Symbols.py...
[2024-11-06 20:22:27] Output of Symbols.py:
Symbols saved to Symbols.csv for 06112024

[2024-11-06 20:22:27] Starting StkData.py...
[2024-11-06 22:04:53] Output of StkData.py:
       SYMBOL
0  1018GS2026
1   20MICRONS
2  21STCENMGM
3      360ONE
4   3IINFOLTD
Stock data for AIRAN: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for AIROLAM: ('Plywood Boards/ Laminates', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for AIRTELPP: ('Telecom - Cellular & Fixed line services', 'Telecom - Services', 'Telecommunication', 'Telecommunication')
Stock data for AISL: ('Diversified Commercial Services', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for AJANTPHARM: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for AJMERA: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for AJOONI: ('Animal Feed', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for AKANKSHA: ('Other Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for AKASH: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for AKG: ('Trading & Distributors', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for AKI: ('Leather And Leather Products', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for AKIKO: ('Other Financial Services', 'Finance', 'Financial Services', 'Financial Services')
Stock data for AKSHAR: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for AKSHARCHEM: ('Dyes And Pigments', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for AKSHOPTFBR: ('Telecom - Equipment & Accessories', 'Telecom - Equipment & Accessories', 'Telecommunication', 'Telecommunication')
Stock data for AKUMS: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for AKZOINDIA: ('Paints', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for ALANKIT: ('Diversified Commercial Services', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for ALBERTDAVD: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for ALEMBICLTD: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for ALICON: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for ALKALI: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for ALKEM: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for ALKYLAMINE: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for ALLCARGO: ('Logistics Solution Provider', 'Transport Services', 'Services', 'Services')
Stock data for ALLDIGI: ('Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for ALLETEC: ('Computers - Software & Consulting', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for ALMONDZ: ('Stockbroking & Allied', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for ALOKINDS: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for ALPA: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for ALPEXSOLAR: ('Other Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for ALPHA: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for ALPHAETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for ALPHAGEO: ('Offshore Support Solution Drilling', 'Oil', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for ALPL30IETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for ALPSINDUS: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for ALUWIND: ('Aluminium Copper & Zinc Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for AMBANIORGO: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for AMBER: ('Household Appliances', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for AMBEY: ('Pesticides & Agrochemicals', 'Fertilizers & Agrochemicals', 'Commodities', 'Chemicals')
Stock data for AMBICAAGAR: ('Household Products', 'Household Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for AMBIKCO: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for AMBUJACEM: ('Cement & Cement Products', 'Cement & Cement Products', 'Commodities', 'Construction Materials')
Stock data for AMDIND: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for AMEYA: ('Other Industrial Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for AMIORG: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for AMJLAND: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for AMJUMBO: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for AMNPLST: ('Commodity Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for AMRUTANJAN: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for ANANDRATHI: ('Financial Products Distributor', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for ANANTRAJ: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for ANDHRAPAP: ('Paper & Paper Products', 'Paper Forest & Jute Products', 'Commodities', 'Forest Materials')
Stock data for ANDHRSUGAR: ('Commodity Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for ANGELONE: ('Stockbroking & Allied', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for ANIKINDS: ('Trading & Distributors', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for ANKITMETAL: ('Iron & Steel', 'Ferrous Metals', 'Commodities', 'Metals & Mining')
Stock data for ANLON: ('Diversified Commercial Services', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for ANMOL: ('Trading - Coal', 'Consumable Fuels', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for ANNAPURNA: ('Packaged Foods', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for ANSALAPI: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for ANTGRAPHIC: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for ANUP: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for ANURAS: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for APARINDS: ('Other Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for APCL: ('Cement & Cement Products', 'Cement & Cement Products', 'Commodities', 'Construction Materials')
Stock data for APCOTEXIND: ('Rubber', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for APEX: ('Seafood', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for APLAPOLLO: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for APLLTD: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for APOLLO: ('Aerospace & Defense', 'Aerospace & Defense', 'Industrials', 'Capital Goods')
Stock data for APOLLOHOSP: ('Hospital', 'Healthcare Services', 'Healthcare', 'Healthcare')
Stock data for APOLLOPIPE: ('Plastic Products - Industrial', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for APOLLOTYRE: ('Tyres & Rubber Products', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for APOLSINHOT: ('Hotels & Resorts', 'Leisure Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for APRAMEYA: ('Medical Equipment & Supplies', 'Healthcare Equipment & Supplies', 'Healthcare', 'Healthcare')
Stock data for APS: ('Heavy Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for APTECHT: ('Education', 'Other Consumer Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for APTUS: ('Housing Finance Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for ARCHIDPLY: ('Plywood Boards/ Laminates', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for ARCHIES: ('Leisure Products', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for ARE&M: (None, None, None, None)
Stock data for ARENTERP: ('Trading - Minerals', 'Metals & Minerals Trading', 'Commodities', 'Metals & Mining')
Stock data for ARHAM: ('Consumer Electronics', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for ARIES: ('Fertilizers', 'Fertilizers & Agrochemicals', 'Commodities', 'Chemicals')
Stock data for ARIHANTACA: ('Education', 'Other Consumer Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for ARIHANTCAP: ('Stockbroking & Allied', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for ARIHANTSUP: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for ARISTO: ('Pesticides & Agrochemicals', 'Fertilizers & Agrochemicals', 'Commodities', 'Chemicals')
Stock data for ARKADE: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for ARMANFIN: ('Non Banking Financial Company (NBFC)', 'Finance', 'Financial Services', 'Financial Services')
Stock data for AROGRANITE: ('Granites & Marbles', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for ARROWGREEN: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for ARSHIYA: ('Logistics Solution Provider', 'Transport Services', 'Services', 'Services')
Stock data for ARSSINFRA: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for ARTEMISMED: ('Hospital', 'Healthcare Services', 'Healthcare', 'Healthcare')
Stock data for ARTNIRMAN: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
