symbol,company,anex,acqName,date,pid,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,tdpTransactionType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
LLOYDS,Lloyds Luxuries Limited,7(2),Sachin Bhoir,30-Apr-2026 11:38,1197847,0,0,0,0,Equity Shares,2913,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197847_1661727_30042026113836_WEB.xml,Employees/Designated Employees,3641,0.02,43695,Equity Shares,6554,0.03,29-Apr-2026,29-Apr-2026,30-Apr-2026,ESOP,-,NA,-
LLOYDS,Lloyds Luxuries Limited,7(2),Shubham Mishra,30-Apr-2026 11:38,1197847,0,0,0,0,Equity Shares,2040,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197847_1661727_30042026113836_WEB.xml,Employees/Designated Employees,360,0,30600,Equity Shares,2400,0.01,29-Apr-2026,29-Apr-2026,29-Apr-2026,ESOP,-,NA,-
SAIFL,Sameera Agro And Infra Limited,7(2),Satya Murthy Sivalenka,29-Apr-2026 17:58,1197844,0,0,0,0,Equity Shares,728000,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197844_1661296_29042026055814_WEB.xml,Promoters,35027000,58.82,6188000,Equity Shares,34299000,57.59,28-Apr-2026,28-Apr-2026,29-Apr-2026,Market Sale,-,NSE,-
NAUKRI,Info Edge (India) Limited,7(2),Info Edge Employees Stock Option Plan Trust,29-Apr-2026 12:39,1197841,0,0,0,0,Equity Shares,159,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197841_1660882_29042026123910_WEB.xml,Other,682927,0.11,318,Equity Shares,682768,0.11,27-Apr-2026,27-Apr-2026,28-Apr-2026,ESOP,-,NA,-
360ONE,360 ONE WAM LIMITED,7(2),Anshuman Maheshwary,28-Apr-2026 16:25,1197839,0,0,0,0,Equity Shares,10000,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197839_1660249_28042026042547_WEB.xml,Employees/Designated Employees,155152,0.04,10414500,Equity Shares,145152,0.04,24-Apr-2026,24-Apr-2026,27-Apr-2026,Market Sale,-,NSE,-
360ONE,360 ONE WAM LIMITED,7(2),Chitra Mohan,28-Apr-2026 16:25,1197839,0,0,0,0,Equity Shares,48000,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197839_1660249_28042026042547_WEB.xml,Immediate relative,34000,0.01,0,Equity Shares,82000,0.02,24-Apr-2026,24-Apr-2026,27-Apr-2026,Off Market,-,NSE,-
360ONE,360 ONE WAM LIMITED,7(2),Radhakrishnan Mohan,28-Apr-2026 16:25,1197839,0,0,0,0,Equity Shares,34000,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197839_1660249_28042026042547_WEB.xml,Employees/Designated Employees,82805,0.01,0,Equity Shares,48805,0.01,24-Apr-2026,24-Apr-2026,27-Apr-2026,Off Market,-,NSE,-
360ONE,360 ONE WAM LIMITED,7(2),Radhakrishnan Mohan,28-Apr-2026 16:25,1197839,0,0,0,0,Equity Shares,48000,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197839_1660249_28042026042547_WEB.xml,Employees/Designated Employees,48805,0.01,0,Equity Shares,805,0,24-Apr-2026,24-Apr-2026,27-Apr-2026,Off Market,-,NSE,-
360ONE,360 ONE WAM LIMITED,7(2),Anshuman Maheshwary,28-Apr-2026 16:25,1197839,0,0,0,0,Equity Shares,12000,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197839_1660249_28042026042547_WEB.xml,Employees/Designated Employees,145152,0.04,12507960,Equity Shares,133152,0.03,27-Apr-2026,27-Apr-2026,27-Apr-2026,Market Sale,-,NSE,-
360ONE,360 ONE WAM LIMITED,7(2),Chitra Mohan,28-Apr-2026 16:25,1197839,0,0,0,0,Equity Shares,34000,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197839_1660249_28042026042547_WEB.xml,Immediate relative,Nil,0,0,Equity Shares,34000,0.01,24-Apr-2026,24-Apr-2026,27-Apr-2026,Off Market,-,NSE,-
ZENSARTECH,Zensar Technologies Limited,7(2),Vijayasimha Alilughatta,28-Apr-2026 16:16,1197838,0,0,0,0,Equity Shares,10000,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197838_1660225_28042026041658_WEB.xml,Employees/Designated Employees,30732,0.01,5500000,Equity Shares,20732,0.01,27-Apr-2026,27-Apr-2026,28-Apr-2026,Market Sale,-,BSE,-
ASMS,Bartronics India Limited,7(2),Kinex India Private Limited,28-Apr-2026 13:39,1197832,0,0,0,0,Equity Shares,5100000,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197832_1660034_28042026013950_WEB.xml,Promoters,205578565,67.5,35718620,Equity Shares,200478565,65.82,30-Mar-2026,30-Mar-2026,01-Apr-2026,Market Sale,-,NSE,-
ASMS,Bartronics India Limited,7(2),Kinex India Private Limited,28-Apr-2026 13:39,1197832,0,0,0,0,Equity Shares,1018382,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197832_1660034_28042026013950_WEB.xml,Promoters,206596947,67.83,8098807,Equity Shares,205578565,67.5,25-Mar-2026,25-Mar-2026,26-Mar-2026,Market Sale,-,NSE,-
MIDWESTLTD,Midwest Limited,7(2),Kollareddy Ranganayakamma,27-Apr-2026 17:15,1197830,0,0,0,0,Equity Shares,1408851,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197830_1659464_27042026051523_WEB.xml,Promoter Group,281770,0.78,0,Equity Shares,1690621,4.68,22-Apr-2026,22-Apr-2026,24-Apr-2026,Gift,-,NA,-
MIDWESTLTD,Midwest Limited,7(2),Rama Raghava Reddy Kollareddy,27-Apr-2026 17:15,1197830,0,0,0,0,Equity Shares,1408851,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197830_1659464_27042026051523_WEB.xml,Promoters,23179774,64.1,0,Equity Shares,21770923,60.21,22-Apr-2026,22-Apr-2026,24-Apr-2026,Gift,-,NA,-
MIDWESTLTD,Midwest Limited,7(2),Uma Priyadarshini Kollareddy,27-Apr-2026 16:53,1197827,0,0,0,0,Equity Shares,150000,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197827_1659424_27042026045345_WEB.xml,Promoters,388124,1.07,0,Equity Shares,538124,1.49,22-Apr-2026,22-Apr-2026,24-Apr-2026,Gift,-,NA,-
MIDWESTLTD,Midwest Limited,7(2),Rama Raghava Reddy Kollareddy,27-Apr-2026 16:53,1197827,0,0,0,0,Equity Shares,150000,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197827_1659424_27042026045345_WEB.xml,Promoters,21770923,60.21,0,Equity Shares,21620923,59.79,22-Apr-2026,22-Apr-2026,24-Apr-2026,Gift,-,NA,-
DEEPAKFERT,Deepak Fertilizers And Petrochemicals Corporation Limited,7(2),SCM Commercial Private Limited,27-Apr-2026 16:39,1197824,0,0,0,0,Equity Shares,7400000,Buy,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197824_1659395_27042026043939_WEB.xml,Promoter Group,Nil,0,1291667644,Equity Shares,7400000,5.86,22-Apr-2026,22-Apr-2026,23-Apr-2026,Inter-se-Transfer,-,NA,-
DEEPAKFERT,Deepak Fertilizers And Petrochemicals Corporation Limited,7(2),Robust Marketing Services Private Limited,27-Apr-2026 16:39,1197824,0,0,0,0,Equity Shares,7400000,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197824_1659395_27042026043939_WEB.xml,Promoters,11067301,8.77,1291667644,Equity Shares,3667301,2.91,22-Apr-2026,22-Apr-2026,23-Apr-2026,Inter-se-Transfer,-,NA,-
COFFEEDAY,Coffee Day Enterprises Limited,7(2),Coffee Day Consolidations Private Limited,27-Apr-2026 14:34,1197820,0,0,0,0,Equity Shares,4269780,Pledge Revoke,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197820_1659246_27042026023420_WEB.xml,Promoter Group,5454823,2.58,0,Equity Shares,5454823,2.58,26-Feb-2026,25-Mar-2026,07-Apr-2026,-,-,NA,-
COFFEEDAY,Coffee Day Enterprises Limited,7(2),Coffee Day Consolidations Private Limited,27-Apr-2026 14:32,1197818,0,0,0,0,Equity Shares,150000,Pledge Revoke,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197818_1659242_27042026023231_WEB.xml,Promoter Group,5454823,2.58,0,Equity Shares,5454823,2.58,24-Apr-2026,24-Apr-2026,27-Apr-2026,-,-,NA,-
AQYLON,Aqylon Nexus Limited,7(2),KURJIBHAI PREMJIBHAI RUPARELIYA,27-Apr-2026 12:45,1197816,0,0,0,0,Equity Shares,11186984,Sell,https://nsearchives.nseindia.com/corporate/xbrl/IT_1197816_1659181_27042026124558_WEB.xml,Promoters,148002746,58.33,571431143,Equity Shares,136815762,53.92,24-Apr-2026,24-Apr-2026,25-Apr-2026,Market Sale,-,NSE,-
